De Karwaten,18
Blingprojects,22
Pourquoi Pas?,16
De Wijnpers Leuven,15
Conquiztadores,20
Quizlamic extremists,23
The Dirty Teachers,23
Portie Gemengd,21
De kloefkappers en ik,21
Quistoutis,20
Startklaar maar kansloos,17
De Bergschoentjes,13
De Buren,20
Zwette Duvels,19
Apocalyps,24
Hippopotomonstrosesquippedaliosquad,17
Ocean's 9,21
Pizza Quattro Fiamminghi,19
Axolotl,23
TOPTEAM!,19
Dnipro Dnipropetrovsk,27
Tienen Colruyt - De Suikerklontjes,14
Kalanchoë,25
Lucky Losers,18
Wawasdaweer,16
The ladies,12
Raesekes,16
4 manne in de war en een wijntje,15
De Compleetkwissers,18
Altijd schoppen,20
Abracadabra,17
Quiztiano Ronaldo,14
FC Hapje Tapje,13
De Djefkes,19
Team Mankeliek,17
The Master Meldert Minds,18
De hongerige beren,15
Daisy's Harem,18
Kot Gené,14
Veteranen,10
Arbre Magique,21
De Sesamzaadjes,21
Boerenverstand uit Meldert,11
Foneetis Korekt,25
Schwa en de epenthetische p,17
Veni vidi vici,3
De gieren,6
Tis gebeurd,24
Baan 29,14
De anti-tiekers,0
Het is een marathon - geen sprint,11
Kwis Brown,13
De Gokmachines,16
